,Sentence,Sentence Encodings,Phrases,Values
24,"He continued, “Now, here we are – not 75 years later, but just seven and a half months later – and people are already forgetting. They’re already forgetting that Hamas unleashed this terror. … I have not forgotten, nor have you, and we will not forget.”","{'He': '0', 'They': '0', 'this terror': '1', 'are already forgetting': '1', 'continued': '0', 'you': '0', 'I': '0', 'Hamas': '1', 'half months': '0', 'already forgetting': '1', 'people': '0', 'have': '0', 'unleashed': '1', '’re already forgetting': '1', 'have not forgotten': '0', 'we': '0', 'will not forget': '0', 'continued,': '0', '“Now,': '0', '–': '0', '75': '0', 'years': '0', 'later,': '0', 'seven': '0', 'half': '0', 'months': '0', 'later': '0', 'already': '1', 'forgetting.': '1', 'They’re': '0', 'forgetting': '1', 'terror.': '1', '…': '0', 'forgotten,': '0', 'you,': '0', 'forget.”': '0'}","['He', 'They', 'this terror', 'are already forgetting', 'continued', 'you', 'I', 'Hamas', 'half months', 'already forgetting', 'people', 'have', 'unleashed', '’re already forgetting', 'have not forgotten', 'we', 'will not forget', 'continued,', '“Now,', '–', '75', 'years', 'later,', 'seven', 'half', 'months', 'later', 'already', 'forgetting.', 'They’re', 'forgetting', 'terror.', '…', 'forgotten,', 'you,', 'forget.”']","['0', '0', '1', '1', '0', '0', '0', '1', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '1', '1', '0', '0', '0', '0']"
25,"All of Ms Harris’s leading potential rivals for the nomination have endorsed her, as has former Speaker of the House Nancy Pelosi – who remains one of the most influential players in Democratic politics.","{'Ms Harris’s leading potential rivals': '0', 'potential rivals': '0', 'the most influential players': '1', 'leading': '0', 'remains': '0', 'Democratic politics': '0', 'influential players': '1', 'All': '0', 'has': '0', 'who': '0', 'her': '0', 'the nomination': '0', 'have endorsed': '1', 'the House': '0', 'Ms': '0', 'Harris’s': '0', 'potential': '0', 'rivals': '0', 'nomination': '0', 'endorsed': '1', 'her,': '0', 'former': '0', 'Speaker': '0', 'House': '0', 'Nancy': '0', 'Pelosi': '0', '–': '0', 'one': '0', 'influential': '1', 'players': '0', 'Democratic': '0', 'politics.': '0'}","['Ms Harris’s leading potential rivals', 'potential rivals', 'the most influential players', 'leading', 'remains', 'Democratic politics', 'influential players', 'All', 'has', 'who', 'her', 'the nomination', 'have endorsed', 'the House', 'Ms', 'Harris’s', 'potential', 'rivals', 'nomination', 'endorsed', 'her,', 'former', 'Speaker', 'House', 'Nancy', 'Pelosi', '–', 'one', 'influential', 'players', 'Democratic', 'politics.']","['0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']"
26,"Based on our criteria mentioned above and methodology outlined below, these are the best cities for healthy living in the U.S.","{'our criteria': '0', 'Based': '0', 'these': '0', 'the U.S.': '0', 'methodology': '0', 'below outlined': '0', 'best cities': '1', 'healthy living': '1', 'above mentioned': '0', 'the best cities': '1', 'criteria': '0', 'mentioned': '0', 'outlined': '0', 'below,': '0', 'best': '1', 'cities': '0', 'healthy': '1', 'living': '0', 'U.S.': '0'}","['our criteria', 'Based', 'these', 'the U.S.', 'methodology', 'below outlined', 'best cities', 'healthy living', 'above mentioned', 'the best cities', 'criteria', 'mentioned', 'outlined', 'below,', 'best', 'cities', 'healthy', 'living', 'U.S.']","['0', '0', '0', '0', '0', '0', '1', '1', '0', '1', '0', '0', '0', '0', '1', '0', '1', '0', '0']"
27,"His tariff plan has spurred talk of inflation, and US treasury secretary Janet Yellen has said it would raise costs for American consumers.","{'tariff plan': '0', 'treasury secretary': '0', 'inflation': '1', 'it': '0', 'costs': '1', 'US treasury secretary Janet Yellen': '0', 'has said': '0', 'has spurred': '1', 'His tariff plan': '0', 'talk': '0', 'American consumers': '0', 'would raise': '1', 'tariff': '0', 'plan': '0', 'spurred': '1', 'inflation,': '1', 'US': '0', 'treasury': '0', 'secretary': '0', 'Janet': '0', 'Yellen': '0', 'said': '0', 'would': '0', 'raise': '1', 'American': '0', 'consumers.': '0'}","['tariff plan', 'treasury secretary', 'inflation', 'it', 'costs', 'US treasury secretary Janet Yellen', 'has said', 'has spurred', 'His tariff plan', 'talk', 'American consumers', 'would raise', 'tariff', 'plan', 'spurred', 'inflation,', 'US', 'treasury', 'secretary', 'Janet', 'Yellen', 'said', 'would', 'raise', 'American', 'consumers.']","['0', '0', '1', '0', '1', '0', '0', '1', '0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0']"
28,"Chrome beats all comers in web browser drag race, never mind the memory footprint and privacy problems","{'memory footprint': '0', 'the memory footprint and privacy problems': '0', 'all comers': '1', 'privacy problems': '0', 'never mind': '0', 'Chrome': '0', 'drag race': '0', 'web browser drag race': '0', 'beats': '1', 'comers': '0', 'web': '0', 'browser': '0', 'drag': '0', 'race,': '0', 'never': '0', 'mind': '0', 'memory': '0', 'footprint': '0', 'privacy': '0', 'problems': '0'}","['memory footprint', 'the memory footprint and privacy problems', 'all comers', 'privacy problems', 'never mind', 'Chrome', 'drag race', 'web browser drag race', 'beats', 'comers', 'web', 'browser', 'drag', 'race,', 'never', 'mind', 'memory', 'footprint', 'privacy', 'problems']","['0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
29,"”The presidency is about more than race. It’s about who is the best person to lead our country,” the McDonough resident said. “I don’t think she is up for that task.”","{'the best person': '0', 'the McDonough resident': '0', 'that task': '0', 'our country': '0', 'do n’t think': '1', 'I': '0', 'she': '0', 'It': '0', '’s': '0', 'who': '0', 'best person': '0', 'race': '0', 'said': '0', 'to lead': '0', 'The presidency': '0', '”The': '0', 'presidency': '0', 'race.': '0', 'It’s': '0', 'best': '0', 'person': '0', 'lead': '0', 'country,”': '0', 'McDonough': '0', 'resident': '0', 'said.': '0', '“I': '0', 'don’t': '1', 'think': '0', 'task.”': '0'}","['the best person', 'the McDonough resident', 'that task', 'our country', 'do n’t think', 'I', 'she', 'It', '’s', 'who', 'best person', 'race', 'said', 'to lead', 'The presidency', '”The', 'presidency', 'race.', 'It’s', 'best', 'person', 'lead', 'country,”', 'McDonough', 'resident', 'said.', '“I', 'don’t', 'think', 'task.”']","['0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0']"
30,"Putin has continuously been in power since 1999, either as Russia's president or prime minister, making him the country's longest-serving leader since Josef Stalin.","{'Putin': '0', 'Josef Stalin': '0', 'longest serving': '1', ""Russia's president"": '0', 'him': '0', 'making': '0', 'power': '0', 'prime minister': '0', 'continuously': '1', 'since': '0', '1999,': '0', 'either': '0', ""Russia's"": '0', 'president': '0', 'prime': '0', 'minister,': '0', ""country's"": '0', 'longest-serving': '1', 'leader': '0', 'Josef': '0', 'Stalin.': '0'}","['Putin', 'Josef Stalin', 'longest serving', ""Russia's president"", 'him', 'making', 'power', 'prime minister', 'continuously', 'since', '1999,', 'either', ""Russia's"", 'president', 'prime', 'minister,', ""country's"", 'longest-serving', 'leader', 'Josef', 'Stalin.']","['0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']"
31,"“We’re at risk of people not knowing the truth,"" Biden said of the horrors of the Holocaust, when 6 million Jews were systematically killed by Nazi Germany and its collaborators. “This hatred continues to lie deep in the hearts of too many people in the world.”","{'Nazi Germany': '1', '’re': '0', 'not knowing': '1', 'said': '0', 'the hearts': '0', 'risk': '1', 'when systematically killed': '1', 'the horrors': '1', 'continues': '0', 'people': '0', 'many people': '0', 'Biden': '0', 'too many people': '1', 'the truth': '0', '6 million Jews': '0', 'the world': '0', 'to lie': '1', 'This hatred': '1', 'its collaborators': '0', 'systematically killed': '1', 'We': '0', 'the Holocaust': '1', '“We’re': '0', 'knowing': '0', 'truth,""': '0', 'horrors': '1', 'Holocaust,': '1', '6': '0', 'million': '0', 'Jews': '0', 'systematically': '1', 'killed': '1', 'Nazi': '1', 'Germany': '0', 'collaborators.': '0', '“This': '0', 'hatred': '1', 'lie': '1', 'deep': '1', 'hearts': '0', 'many': '0', 'world.”': '0'}","['Nazi Germany', '’re', 'not knowing', 'said', 'the hearts', 'risk', 'when systematically killed', 'the horrors', 'continues', 'people', 'many people', 'Biden', 'too many people', 'the truth', '6 million Jews', 'the world', 'to lie', 'This hatred', 'its collaborators', 'systematically killed', 'We', 'the Holocaust', '“We’re', 'knowing', 'truth,""', 'horrors', 'Holocaust,', '6', 'million', 'Jews', 'systematically', 'killed', 'Nazi', 'Germany', 'collaborators.', '“This', 'hatred', 'lie', 'deep', 'hearts', 'many', 'world.”']","['1', '0', '1', '0', '0', '1', '1', '1', '0', '0', '0', '0', '1', '0', '0', '0', '1', '1', '0', '1', '0', '1', '0', '0', '0', '1', '1', '0', '0', '0', '1', '1', '1', '0', '0', '0', '1', '1', '1', '0', '0', '0']"
32,"Microsoft's AI for Good Lab is an applied research and data visualization lab that harnesses the power of big data, and Microsoft's cloud technology.","{'an applied research and data visualization lab': '0', 'big data': '0', 'data visualization': '0', 'applied': '0', ""Microsoft's cloud technology"": '0', 'harnesses': '1', 'cloud technology': '0', ""Microsoft's AI"": '0', 'that': '0', 'visualization lab': '0', 'the power': '0', 'Good Lab': '1', ""Microsoft's"": '0', 'AI': '0', 'Good': '1', 'Lab': '0', 'research': '0', 'data': '0', 'visualization': '0', 'lab': '0', 'power': '0', 'big': '0', 'data,': '0', 'cloud': '0', 'technology.': '0'}","['an applied research and data visualization lab', 'big data', 'data visualization', 'applied', ""Microsoft's cloud technology"", 'harnesses', 'cloud technology', ""Microsoft's AI"", 'that', 'visualization lab', 'the power', 'Good Lab', ""Microsoft's"", 'AI', 'Good', 'Lab', 'research', 'data', 'visualization', 'lab', 'power', 'big', 'data,', 'cloud', 'technology.']","['0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
33,Friday’s tech outage hit Delta especially hard.,"{'Delta': '0', 'hard hit': '1', 'tech outage': '1', 'Friday’s tech outage': '1', 'Friday’s': '0', 'tech': '0', 'outage': '1', 'hit': '1', 'especially': '1', 'hard.': '1'}","['Delta', 'hard hit', 'tech outage', 'Friday’s tech outage', 'Friday’s', 'tech', 'outage', 'hit', 'especially', 'hard.']","['0', '1', '1', '1', '0', '0', '1', '1', '1', '1']"
34,"He also told CNN’s Anderson Cooper Monday that “it’s going to be a brutal campaign,” in response to GOP Rep. Tim Burchett describing Harris as a “DEI hire,” a comment characterized as racist and offensive by Congressional Black Caucus Chairman Steve Horsford.","{'He': '0', '’s going': '0', 'response': '0', 'GOP Rep. Tim Burchett': '0', 'CNN’s Anderson Cooper': '0', 'brutal campaign': '1', 'it': '0', 'a “DEI hire': '1', 'a comment': '0', 'Congressional Black Caucus Chairman Steve Horsford': '0', 'also told': '0', 'Harris': '0', 'describing': '0', 'characterized': '0', 'a brutal campaign': '1', 'also': '0', 'told': '0', 'CNN’s': '0', 'Anderson': '0', 'Cooper': '0', 'Monday': '0', '“it’s': '0', 'going': '0', 'brutal': '1', 'campaign,”': '0', 'GOP': '0', 'Rep.': '0', 'Tim': '0', 'Burchett': '0', '“DEI': '0', 'hire,”': '0', 'comment': '0', 'racist': '1', 'offensive': '1', 'Congressional': '0', 'Black': '0', 'Caucus': '0', 'Chairman': '0', 'Steve': '0', 'Horsford.': '0'}","['He', '’s going', 'response', 'GOP Rep. Tim Burchett', 'CNN’s Anderson Cooper', 'brutal campaign', 'it', 'a “DEI hire', 'a comment', 'Congressional Black Caucus Chairman Steve Horsford', 'also told', 'Harris', 'describing', 'characterized', 'a brutal campaign', 'also', 'told', 'CNN’s', 'Anderson', 'Cooper', 'Monday', '“it’s', 'going', 'brutal', 'campaign,”', 'GOP', 'Rep.', 'Tim', 'Burchett', '“DEI', 'hire,”', 'comment', 'racist', 'offensive', 'Congressional', 'Black', 'Caucus', 'Chairman', 'Steve', 'Horsford.']","['0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0']"
35,“Well why couldn’t he have dropped out four years ago?” Richard Whitehead said.,"{'why could have ago dropped': '0', 'Richard Whitehead': '0', 'said': '0', 'he': '0', '“Well': '0', 'couldn’t': '0', 'dropped': '1', 'four': '0', 'years': '0', 'ago?”': '0', 'Richard': '0', 'Whitehead': '0', 'said.': '0'}","['why could have ago dropped', 'Richard Whitehead', 'said', 'he', '“Well', 'couldn’t', 'dropped', 'four', 'years', 'ago?”', 'Richard', 'Whitehead', 'said.']","['0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']"
36,"The United Food and Commercial Workers, which has roughly 1.3 million members, also endorsed Harris on Monday, as did the American Federation of Teachers, which has approximately 1.7 million members. The Retail, Wholesale, Department Store Union, which represents 100,000 workers nationwide, also threw its support to Harris on Monday.","{'which': '0', '100,000 workers': '0', 'The United Food and Commercial Workers': '0', 'roughly 1.3 million members': '0', 'Teachers': '0', 'The Retail, Wholesale, Department Store Union': '0', 'also endorsed': '1', 'has': '0', 'approximately 1.7 million members': '0', 'its support': '1', 'nationwide represents': '0', 'Harris': '0', 'the American Federation': '0', 'also threw': '1', 'did': '0', 'Monday': '0', 'United': '0', 'Food': '0', 'Commercial': '0', 'Workers,': '0', 'roughly': '0', '1.3': '0', 'million': '0', 'members,': '0', 'also': '1', 'endorsed': '1', 'Monday,': '0', 'American': '0', 'Federation': '0', 'Teachers,': '0', 'approximately': '0', '1.7': '0', 'members.': '0', 'Retail,': '0', 'Wholesale,': '0', 'Department': '0', 'Store': '0', 'Union,': '0', 'represents': '0', '100,000': '0', 'workers': '0', 'nationwide,': '0', 'threw': '1', 'support': '1', 'Monday.': '0'}","['which', '100,000 workers', 'The United Food and Commercial Workers', 'roughly 1.3 million members', 'Teachers', 'The Retail, Wholesale, Department Store Union', 'also endorsed', 'has', 'approximately 1.7 million members', 'its support', 'nationwide represents', 'Harris', 'the American Federation', 'also threw', 'did', 'Monday', 'United', 'Food', 'Commercial', 'Workers,', 'roughly', '1.3', 'million', 'members,', 'also', 'endorsed', 'Monday,', 'American', 'Federation', 'Teachers,', 'approximately', '1.7', 'members.', 'Retail,', 'Wholesale,', 'Department', 'Store', 'Union,', 'represents', '100,000', 'workers', 'nationwide,', 'threw', 'support', 'Monday.']","['0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0']"
37,"LinkedIn co-founder Reid Hoffman, one of the Biden campaign’s biggest donors, also quickly endorsed Harris.","{'quickly endorsed': '1', 'LinkedIn co-founder Reid Hoffman': '0', '-founder': '0', 'the Biden campaign’s biggest donors': '1', 'co-': '0', 'Harris': '0', 'biggest donors': '1', 'also quickly endorsed': '1', 'LinkedIn': '0', 'co-founder': '0', 'Reid': '0', 'Hoffman,': '0', 'one': '0', 'Biden': '0', 'campaign’s': '0', 'biggest': '1', 'donors,': '0', 'also': '0', 'quickly': '1', 'endorsed': '1', 'Harris.': '0'}","['quickly endorsed', 'LinkedIn co-founder Reid Hoffman', '-founder', 'the Biden campaign’s biggest donors', 'co-', 'Harris', 'biggest donors', 'also quickly endorsed', 'LinkedIn', 'co-founder', 'Reid', 'Hoffman,', 'one', 'Biden', 'campaign’s', 'biggest', 'donors,', 'also', 'quickly', 'endorsed', 'Harris.']","['1', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '1', '0']"
38,"Between the lines: Biden's weakness wasn't his slight deficit in the national polls, but his narrow path to an electoral college majority.","{'narrow path': '1', 'the lines': '0', 'electoral college': '0', ""Biden's weakness"": '1', 'national polls': '0', 'the national polls': '0', 'his slight deficit': '1', 'college majority': '0', 'his narrow path': '1', 'an electoral college majority': '0', 'slight deficit': '1', 'lines:': '0', ""Biden's"": '0', 'weakness': '1', 'slight': '1', 'deficit': '1', 'national': '0', 'polls,': '0', 'narrow': '1', 'path': '1', 'electoral': '0', 'college': '0', 'majority.': '0'}","['narrow path', 'the lines', 'electoral college', ""Biden's weakness"", 'national polls', 'the national polls', 'his slight deficit', 'college majority', 'his narrow path', 'an electoral college majority', 'slight deficit', 'lines:', ""Biden's"", 'weakness', 'slight', 'deficit', 'national', 'polls,', 'narrow', 'path', 'electoral', 'college', 'majority.']","['1', '0', '0', '1', '0', '0', '1', '0', '1', '0', '1', '0', '0', '1', '1', '1', '0', '0', '1', '1', '0', '0', '0']"
39,"“For a quarter century, Chandra has made discovery after amazing discovery,” said Pat Slane, director of the Chandra X-ray Center. “Astronomers have used Chandra to investigate mysteries that we didn’t even know about when we were building the telescope — including exoplanets and dark energy.”","{'the telescope': '0', 'the Chandra X-ray Center': '0', 'did n’t even know': '0', 'has made': '1', 'said': '0', 'quarter century': '0', 'discovery': '0', 'Astronomers': '0', 'even know': '1', 'Chandra': '0', 'including': '1', 'a quarter century': '0', 'amazing discovery': '1', 'when were building': '0', 'exoplanets': '0', 'have used': '0', 'dark energy': '0', 'we': '0', 'Pat Slane': '0', 'to investigate': '0', 'mysteries': '0', 'director': '0', '“For': '0', 'quarter': '0', 'century,': '0', 'made': '1', 'amazing': '1', 'discovery,”': '1', 'Pat': '0', 'Slane,': '0', 'X-ray': '0', 'Center.': '0', '“Astronomers': '0', 'used': '0', 'investigate': '0', 'didn’t': '0', 'even': '0', 'know': '0', 'building': '0', 'telescope': '0', '—': '0', 'dark': '0', 'energy.”': '0'}","['the telescope', 'the Chandra X-ray Center', 'did n’t even know', 'has made', 'said', 'quarter century', 'discovery', 'Astronomers', 'even know', 'Chandra', 'including', 'a quarter century', 'amazing discovery', 'when were building', 'exoplanets', 'have used', 'dark energy', 'we', 'Pat Slane', 'to investigate', 'mysteries', 'director', '“For', 'quarter', 'century,', 'made', 'amazing', 'discovery,”', 'Pat', 'Slane,', 'X-ray', 'Center.', '“Astronomers', 'used', 'investigate', 'didn’t', 'even', 'know', 'building', 'telescope', '—', 'dark', 'energy.”']","['0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
40,"Other airlines got back to normal by the weekend but Delta had to cancel 1,100 flights on Monday, which was more than a quarter of its flights. Hundreds more were canceled on Tuesday. More than 7-thousand in all since Friday.","{'which': '0', 'the weekend': '0', 'back got': '0', 'had': '0', '1,100 flights': '0', 'Hundreds': '0', 'Tuesday': '0', 'Friday': '0', 'more than a quarter': '0', 'canceled': '1', 'Delta': '0', 'its flights': '0', 'to cancel': '1', 'Other airlines': '0', 'Monday': '0', 'airlines': '0', 'got': '0', 'back': '0', 'normal': '0', 'weekend': '0', 'cancel': '1', '1,100': '0', 'flights': '0', 'Monday,': '0', 'quarter': '0', 'flights.': '0', 'Tuesday.': '0', '7-thousand': '0', 'since': '0', 'Friday.': '0'}","['which', 'the weekend', 'back got', 'had', '1,100 flights', 'Hundreds', 'Tuesday', 'Friday', 'more than a quarter', 'canceled', 'Delta', 'its flights', 'to cancel', 'Other airlines', 'Monday', 'airlines', 'got', 'back', 'normal', 'weekend', 'cancel', '1,100', 'flights', 'Monday,', 'quarter', 'flights.', 'Tuesday.', '7-thousand', 'since', 'Friday.']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
41,Secret Service director Kimberly Cheatle has resigned after the attempted assassination of Donald Trump.,"{'attempted': '0', 'Donald Trump': '0', 'the attempted assassination': '1', 'has resigned': '1', 'Secret Service director Kimberly Cheatle': '0', 'Secret': '0', 'Service': '0', 'director': '0', 'Kimberly': '0', 'Cheatle': '0', 'resigned': '1', 'assassination': '1', 'Donald': '0', 'Trump.': '0'}","['attempted', 'Donald Trump', 'the attempted assassination', 'has resigned', 'Secret Service director Kimberly Cheatle', 'Secret', 'Service', 'director', 'Kimberly', 'Cheatle', 'resigned', 'assassination', 'Donald', 'Trump.']","['0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0']"
42,"Protesters in Berlin displayed a figure of Putin bathing in a bath of blood with the Ukrainian flag on the side, alongside shredded ballots in ballot boxes.","{'displayed': '0', 'a figure': '0', 'bathing': '1', 'the Ukrainian flag': '0', 'shredded ballots': '1', 'Putin': '0', 'ballot boxes': '0', 'Berlin': '0', 'shredded': '1', 'Ukrainian flag': '0', 'the side': '0', 'blood': '1', 'Protesters': '0', 'a bath': '1', 'figure': '0', 'bath': '1', 'Ukrainian': '0', 'flag': '0', 'side,': '0', 'alongside': '0', 'ballots': '0', 'ballot': '0', 'boxes.': '0'}","['displayed', 'a figure', 'bathing', 'the Ukrainian flag', 'shredded ballots', 'Putin', 'ballot boxes', 'Berlin', 'shredded', 'Ukrainian flag', 'the side', 'blood', 'Protesters', 'a bath', 'figure', 'bath', 'Ukrainian', 'flag', 'side,', 'alongside', 'ballots', 'ballot', 'boxes.']","['0', '0', '1', '0', '1', '0', '0', '0', '1', '0', '0', '1', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0']"
43,He hasn’t lost a bid for public office since.,"{'has n’t since lost': '1', 'a bid': '0', 'public office': '0', 'He': '0', 'hasn’t': '1', 'lost': '1', 'bid': '0', 'public': '0', 'office': '0', 'since.': '1'}","['has n’t since lost', 'a bid', 'public office', 'He', 'hasn’t', 'lost', 'bid', 'public', 'office', 'since.']","['1', '0', '0', '0', '1', '1', '0', '0', '0', '1']"
44,Donald Trump said some undocumented immigrants are “not people.”,"{'some undocumented immigrants': '0', 'people': '1', 'said': '0', 'Donald Trump': '0', 'undocumented immigrants': '0', 'Donald': '0', 'Trump': '0', 'undocumented': '0', 'immigrants': '0', '“not': '1', 'people.”': '1'}","['some undocumented immigrants', 'people', 'said', 'Donald Trump', 'undocumented immigrants', 'Donald', 'Trump', 'undocumented', 'immigrants', '“not', 'people.”']","['0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '1']"
45,"After the White House had already called Russia's election ""not free nor fair"", the State Department has now also denounced the election as unfree and said it would not congratulate President Vladimir Putin.","{'it': '0', 'had already called': '0', 'President Vladimir Putin': '0', 'has now also denounced': '1', 'already called': '0', 'the White House': '0', 'said': '0', ""Russia's election"": '0', 'the election': '0', 'the State Department': '0', 'would not congratulate': '1', 'also denounced': '1', 'White': '0', 'House': '0', 'already': '0', 'called': '0', ""Russia's"": '0', 'election': '0', '""not': '1', 'free': '1', 'fair"",': '1', 'State': '0', 'Department': '0', 'also': '0', 'denounced': '1', 'unfree': '1', 'would': '0', 'congratulate': '0', 'President': '0', 'Vladimir': '0', 'Putin.': '0'}","['it', 'had already called', 'President Vladimir Putin', 'has now also denounced', 'already called', 'the White House', 'said', ""Russia's election"", 'the election', 'the State Department', 'would not congratulate', 'also denounced', 'White', 'House', 'already', 'called', ""Russia's"", 'election', '""not', 'free', 'fair"",', 'State', 'Department', 'also', 'denounced', 'unfree', 'would', 'congratulate', 'President', 'Vladimir', 'Putin.']","['0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '1', '1', '1', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0']"
46,"Google will now focus on giving users more control over their browsing data, Chavez wrote. This includes additional privacy controls like IP Protection in Chrome's Incognito mode and ongoing improvements to Privacy Sandbox APIs.","{'giving': '1', 'more control': '1', 'ongoing improvements': '1', 'additional privacy': '1', 'wrote': '0', 'now focus': '0', ""Chrome's Incognito mode"": '0', 'their browsing data': '0', 'privacy controls': '1', 'Chavez': '0', 'browsing': '0', 'will now focus': '0', 'users': '0', 'IP Protection': '1', 'includes': '1', 'This': '0', 'Privacy Sandbox APIs': '1', 'additional privacy controls': '1', 'Google': '0', 'focus': '0', 'control': '0', 'data,': '0', 'wrote.': '0', 'additional': '0', 'privacy': '0', 'controls': '0', 'like': '0', 'IP': '0', 'Protection': '0', ""Chrome's"": '0', 'Incognito': '0', 'mode': '0', 'ongoing': '0', 'improvements': '1', 'Privacy': '0', 'Sandbox': '0', 'APIs.': '0'}","['giving', 'more control', 'ongoing improvements', 'additional privacy', 'wrote', 'now focus', ""Chrome's Incognito mode"", 'their browsing data', 'privacy controls', 'Chavez', 'browsing', 'will now focus', 'users', 'IP Protection', 'includes', 'This', 'Privacy Sandbox APIs', 'additional privacy controls', 'Google', 'focus', 'control', 'data,', 'wrote.', 'additional', 'privacy', 'controls', 'like', 'IP', 'Protection', ""Chrome's"", 'Incognito', 'mode', 'ongoing', 'improvements', 'Privacy', 'Sandbox', 'APIs.']","['1', '1', '1', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '1', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']"
47,"Our sister community, Reworked, gathers the world's leading employee experience and digital workplace professionals. And our newest community, VKTR, is home for AI practitioners and forward thinking leaders focused on the business of enterprise AI.","{'newest community': '1', 'workplace professionals': '1', 'digital workplace professionals': '1', 'VKTR': '0', 'leading': '1', 'AI practitioners': '0', 'focused': '1', 'sister community': '0', 'digital workplace': '0', 'enterprise AI': '0', 'gathers': '0', 'forward thinking': '1', 'leaders': '0', 'the business': '0', 'our newest community': '1', 'Reworked': '0', 'home': '0', ""the world's leading employee experience"": '1', 'Our sister community': '0', 'employee experience': '0', 'sister': '0', 'community,': '0', 'Reworked,': '0', ""world's"": '0', 'employee': '0', 'experience': '0', 'digital': '0', 'workplace': '0', 'professionals.': '0', 'newest': '1', 'VKTR,': '0', 'AI': '0', 'practitioners': '0', 'forward': '1', 'thinking': '1', 'business': '0', 'enterprise': '0', 'AI.': '0'}","['newest community', 'workplace professionals', 'digital workplace professionals', 'VKTR', 'leading', 'AI practitioners', 'focused', 'sister community', 'digital workplace', 'enterprise AI', 'gathers', 'forward thinking', 'leaders', 'the business', 'our newest community', 'Reworked', 'home', ""the world's leading employee experience"", 'Our sister community', 'employee experience', 'sister', 'community,', 'Reworked,', ""world's"", 'employee', 'experience', 'digital', 'workplace', 'professionals.', 'newest', 'VKTR,', 'AI', 'practitioners', 'forward', 'thinking', 'business', 'enterprise', 'AI.']","['1', '1', '1', '0', '1', '0', '1', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '1', '0', '0', '0']"
